วันที่,วิชาสอน,รายละเอียด,รูปภาพ,เทอม,สัปดาห์
5/6/2569,-,ประชุมครู ครั้งที่ 4/2569 ,1xjSVurS3OWeqWSs5e3Fwm-GpbK3JJaqo,1,5
6/6/2569,-,ดููแลนักเรียน นักศึกษาซ้อมร้องเพลงประสานเสียงวันไหว้ครู ณ อาคารโดมวิทยาลัยอาชีวศึกษานครปฐม,1Xw3aKmo24ffIC_sGrM5-w5KDFpEf52gb,1,5
8/6/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดูแลนักเรียน นักศึกษา ทำกิจกรรมร้องเพลงประสานเสียงในวันพิธีไหว้ครู ณ หอประชุม,19xQOWRPRjRxHwdGPLGUPzxPdh-h2xo1s,1,6
9/6/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,สอนรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ ให้นักเรียนทำงานกลุ่มในหัวข้อกฎหมายไซเบอร์ทางคอมพิวเตอร์พร้อมนำเสนอหน้าชั้นเรียนและปูพื้นฐานโปรแกรม Microsoft Word,1wK85oGbQ9FFtb7YN_GdPWbneQ3xAs7Jl,1,6
10/6/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ เรื่องการใช้งานเครื่องมือพื้นฐานของโปรแกรม Figma พร้อมให้นักเรียนออกแบบหน้าจอของโปรไฟล์ตัวเอง,1FIVM8adHX9323tj2_u_azDajGfa4zGak,1,6
11/6/2569,-,กิจกรรมวันไหว้ครูประจำปีการศึกษา 2569 ของวิทยาลัยและของสาขาวิชาเทคโนโลยีสารสนเทศ,1sZE7i199YSqonLLgaMLQFAIzU_b83JvP,1,6
12/6/2569,-,ลง Microsoft ณ สาขาแฟชันและสิ่งทอ ตึก 3 จำนวน 10 เครื่อง,1qF58_MrgLI3LAGIS_28z4J99YD4xyZ9i,1,6
15/6/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,รายวิชากิจกรรมเสริมสร้างสุจริต จิตอาสา ได้ดำเนินการเข้ากิจกรรมกีฬาสีตามกลุ่ม ได้มีการคัดเลือกประธานกีฬาสีและหัวหน้าแต่ละฝ่าย,1oBKe9Vetm8laru9ABDVO-Tv5lNarTg8z,1,7
16/6/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,รายวิชาการใช้เทคโนโลยีกดิจิทัลเพื่ออาชีพ ได้ทำการทดสอบความรู้หลังเรียนทฤษฎีก่อนเข้าเรียนปฏิบัติ ทดสอบเก็บคะแนนและได้ให้นักเรียนค้นคว้าข้อมูลตามหัวข้อที่กำหนด,1sTEuTXIwhNRGbCmp677yHD5INmWr-8Lx,1,7
17/6/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ ให้นักเรียนออกแบบตามเว็บไซต์ที่นักเรียนเลือก โดยให้ฝึกคิดจัดองค์ประกอบของหน้าจอตามที่นักเรียนคัดเลือก,1UDq9POzWRFSf9OwSYOXDw6bZO9Ym78EU,1,7
18/6/2569,-,ดำเนินการลง Microsoft Word ให้กับคุณครูในวิทยาลัย สาขาออกแบบ,1ni2nydS1duEQuf9WbqgtvM9Iz6yqyJT-,1,7
19/6/2569,-,ดำเนินการซ่อมเครื่องปริ้นให้กับสาขาบัญชี อาการของเครื่องปริ้นไม่สามารถปริ้นผ่านจากคอมพิวเตอร์ได้ สาเหตุเนื่องจากฝาปิดข้างและตัวที่ลองผงหมึกตัวเครื่องได้หายไปจึงทำการให้ใช้งานไม่ได้,1qE7VE9TmUau7eezMjuUjHWSjh_HO_c4K,1,7
21/6/2569,-,ดูแลนักเรียน ระดับชั้น ปวส.2 ในการแข่งขันฝีมือแรงงานแห่งชาติ สาขาความมั่นคงปลอดภัยไซเบอร์,1qt-9cca2JZW0UNM3OnriiNL-saAI2Ezh,1,7
22/6/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดำเนินการดูแลนักเรียนระดับชั้น ปวช.2 และ ปวส.1 ในการเข้าซ้อมกีฬาสี,1pkRJtT2uK0vdgs6lpqtahRJna-i7tc5g,1,8
23/6/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,สอนรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ ในหัวข้อการจัดหน้ากระดาษของโครงงาน,19QvtmAfSy6d9CtGQUZNcnz-G6JzNLum5,1,8
24/6/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ ได้ให้นักเรียนออกแบบแอปสั่งชานมไข่มุกตาม Wireframe ที่เคยทำในช่วงสัปดาห์แรกลงบน Figma ,1ajr0eGGnQwfOHuUFMRjBc7kxqZ3eesU1,1,8
25/6/2569,-,ดำเนินการลง Windows ใหม่จำนวน 4 เครื่อง เนื่องจากคอมพิวเตอร์เกิดอาการช้า และข้อมูลเต็ม,1WirnztJ65cd8R4pXEmlQmq6te4j4WrsA,1,8
26/6/2569,-,ดำเนินการตรวจระเบียบร่างกายของนักเรียนสาขาเทคโนโลยีสารสนเทศ และเตรียมเนื้อหาการสอนสำหรับสัปดาห์ถัดไป,10qeeKSXQ3HmsxK8pjTnjoINBeyfscI0R,1,8
29/6/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดำเนินการดูแลนักเรียนระดับชั้น ปวช.2 และ ปวส.1 ในการเข้าซ้อมกีฬาสี,175HMgKRwcwq0Lj3-2VBE-GTLwuUQv2tq,1,9
30/6/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,ได้มีการสอนในรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ สอนในหัวข้อการเขียนบทที่ 1-5 ตามเนื้อหาการจัดโครงงาน,1wf-yUqzvA3NPt3oQJRzJB5lVHEBp4xSH,1,9
1/7/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ ในหัวข้อการสร้างแอนิเมชันสำหรับการออกแบบ UX/UI เบื้องต้น,13qypD7W3GX37AiqTqFtL_8h0qHkJK9y3,1,9
2/7/2569,-,ได้จัดทำบิลค่าเครื่องแบบนักเรียน ค่าอุปกรณ์ ให้กับงานการเงิน ,1mp_dC7TZ_Sr29roFuQ-rS_2jGIBXXWwJ,1,9
3/7/2569,-,ดำเนินการลง Windows ใหม่ จำนวน 1 เครื่องเนื่องจากคอมพิวเตอร์มีข้อมูลเต็ม ,1IywSEu3GdLumV9TIqHceM_k9doWEaXa8,1,9
6/7/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดำเนินการดูแลนักเรียนระดับชั้น ปวช.2 และ ปวส.1 ในการเข้าซ้อมกีฬาสี,1mEIrTVFUw7WS_v8TgxHlxnmw5XXB4nkt,1,10
7/7/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,สอนรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ ในเรื่องการหน้ากระดาษส่วนของหน้าปก กิตติกรรมประกาศ และบทคัดย่อต่างๆ ,12ZkDQ6U_Dx5BQeWjYJNyVMgfhI61ih3f,1,10
8/7/2569,การออกแบบส่วนติดต่อผู้ใช้,ให้นักเรียนตามงานที่ค้างเนื่องจากนักเรียนส่วนใหญ่ไม่ได้ส่งงานและมีนักเรียนบางส่วนได้ไปเรียน รด.,1W7leHSJftxAd0tyePBPqF7NjPd1YYYTR,1,10
9/7/2569,-,ดำเนินการซ่อม Windows ให้กับอาคาร 6 ชั้น 5 จำนวน 10 เครื่อง,1oIa0DFayi7IBl6NeTOfX79hmp9GE1D4s,1,10
10/7/2569,-,จัดทำภาพ Infographic ของระบบรายงานการนิเทศนักเรียนฝึกงานของวิทยาลัยอาชีวศึกษานครปฐม,1ZOxY934Wrrn0qL1BFJPiiHBlAzhIYlge,1,10
13/7/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดำเนินการดูแลนักเรียนระดับชั้น ปวช.2 และ ปวส.1 ในการเข้าซ้อมกีฬาสี และได้ดำเนินการจัดคอมสำหรับการแข่งขันโครงงานวิทยาศาสตร์,1buXi2JGP8p3aBq8xq8Z_6j_ZnNCj5thS,1,11
14/7/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,สอนรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ ในเรื่องการหน้ากระดาษส่วนของสารบัญ สารบัญตาราง สารบัญภาพและผู้จัดทำ ,1KWuzb4JhHacdo8THHFpUCsV3nQy9usXb,1,11
15/7/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ ในเรื่องแอนิเมชันสำหรับการออกแบบ UX/UI (ต่อ) เนื่องจากสัปดาห์ที่แล้วสอนไม่ทันยังขาดในส่วนหน้าแรกและให้นักเรียนเชื่อมหน้าเข้ากัน,1_TohIUaFD-NbZWNY_7HyVosHavC3N2ww,1,11
16/7/2569,-,ดำเนินการซ้อมและล้างเครื่องปริ้นของครูบัญชี เนื่องจากมีอาการปริ้นไม่ออก,173d4f4U7GVwnz8vuKLcEJO9BrReZ96hG,1,11
17/7/2569,-,ดำเนินการติดตั้ง Internet เพิ่ม ณ ห้อง 713 เนื่องจาก Internet ในห้องไม่เพียงพอต่อการใช้งานกับนักเรียน ,1zX5IuVAiAVNZXxzIA4xXR3-I6iZ9scVk,1,11
20/7/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดูแลนักเรียน นักศึกษา ในการซ้อมกีฬาสีของสีเหลือง ณ บริเวณหน้าอาคาร 5,1kG5XIrpPwsxPwopeNrynErcPL6AeZkcg,1,12
21/7/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,ไม่มีการสอนเนื่องจากมีงานสามัญสัมพันธ์ ดำเนินการให้นักเรียน ปวช.1 เข้ารับชมบูธของสามัญและให้นักเรียนทำรายงานการรับชมเข้าบูธ และดำเนินการเซ็ตอินเทอร์เน็ตใหม่ ณ บริเวณหอประชุม,1aiSCBOrcBOb7kIA7MU68ksgk9FUQOAv3,1,12
22/7/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ และดำเนินการตรวจระเบียบนักเรียนนักศึกษาประจำเดือนกรกฎาคม,15UAuvGPgL2ROIdaXL_Xc4SR5On0MKHh4,1,12
23/7/2569,,เตรียมเนื้อหาการสอนและดูแลนักเรียนระดับชั้น ปวส.ในการทำความสะอาดห้อง 713,1b2U5hyXwTlLkNinrRRwlM56c7rIWq7V4,1,12
24/7/2569,,ดำเนินการทำสายแลนเพิ่มเพื่อนำไปใช้งาน ณ ห้องงานสารบัญ,1WiIZERCbTQ9bexbKC9hv9B7FvrhylWLX,1,12
27/7/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,วิทยาลัยอาชีวศึกษานครปฐมได้มีการจัดการเรียนการสอนออนไลน์ จัดทำการเตรียมเนื้อหาการสอนของวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,16368Yle6fL6Us0ZgUu2_JQyF8ZBA-e1w,1,13
28/7/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,"หยุดราชการเนื่องจาก ""วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร""",1BhMsi9uJOI0N68oe2wyDbwZdm-rw8PWS,1,13
29/7/2569,การออกแบบส่วนติดต่อผู้ใช้,"หยุดข้าราชการเนื่องจาก ""วันอาสาฬหบูชา""",1GOwCJY1z4Umz9lhvHdDe8niP9SDfaHm9,1,13
30/7/2569,,"หยุดข้าราชการเนื่องจาก ""วันเข้าพรรษา""",1-qEYzdf3rFiVnlz7g_LCnBJmn_TYvcyb,1,13
31/7/2569,,วิทยาลัยอาชีวศึกษานครปฐมได้มีการจัดการเรียนการสอนออนไลน์ จัดทำการเตรียมเนื้อหาการสอน,1W0PCp9oLd-BdYbwHtMf_iHKyqkamS5d2,1,13
3/8/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดำเนินการดูแลนักเรียน ปวช.1 ในการซ้อมกีฬาสีของสีเหลือง ณ บริเวณหน้าอาคาร 5,1H_TB3rvOiCkGHv0OSKgNkq1LnCxHo5LZ,1,14
4/8/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,ดำเนินการสอนวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ เรื่องการใช้งานโปรแกรมตารางงาน (Excel) ,11Ie0rbhfkX_jNdRLA79dMlJoCMMQl5EO,1,14
5/8/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้เรืองการออกแบบ Sitemap ใน UX/UI ,1XCwmC20YA1qzBBBbOLwOIsUiW_XK3lFE,1,14
6/8/2569,,เตรียมเนื้อหาการสอนและจัดทำส่วนหน้าปกของเล่มรายงานฝึกสอนอาสาพาศิษย์ไหว้,1vWtZpIOqk3tbHsF-_rD2hpaXgaus0z0l,1,14
7/8/2569,,เตรียมเนื้อหาการสอนของรายสัปดาห์ต่อไป,1Osd_BemHgSUGTwqdpLjJEvYlb_3LuL9G,1,14
10/8/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดูแลนักเรียน นักศึกษาในการประชุมกีฬาสีของสีเหลือง,1wj9ySzY-vc3nI5HKGeduRhfU6ccinmCp,1,15
11/8/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,ดูแลนักเรียน นักศึกษาในวันกีฬาสี เป็นวันแรก,1gl-Po6cbA_tJCfLXXxoe9KpnMhrlWU21,1,15
12/8/2569,การออกแบบส่วนติดต่อผู้ใช้,"หยุดข้าราชการเนื่อง ""วันคล้ายวันพระราชสมภพ สมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และเป็นวันแม่แห่งชาติ""",1FPb0AoPZGDaH4o3cn7VR4J11SRzhbrHe,1,15
13/8/2569,,ดูแลนักเรียน นักศึกษาในวันกีฬาสีให้อยู่ในความเรียบร้อย,18megIoeQLVso1uwZrpCxVjofS9aO0Kk2,1,15
14/8/2569,,เดินพาเหรดและเข้าร่วมกิจกรรมกีฬาครู ในวันงานกีฬาสีของวิทยาลัย,1ezL5bfaicHmXec0FimBTbLfRPFlNJd74,1,15
17/8/2569,,"ลาป่วย เนื่องจาก ""เป็นไข้หวัดใหญ่""",14FrJQbKmfFSfqmOZf-Yj3UGetRhWyD8d,1,16
24/8/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดูแลนักเรียน นักศึกษาระดับชั้นปวช.2 และ ปวส.1 ในคาบกิจกรรมเสริมสร้างสุจริต จิตอาสาและให้คำปรึกษาในการทำเล่มชมรมวิชาชีพเทคโนโลยีสารสนเทศ,,1,17
25/8/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,สอนรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ เรื่องการใช้งาน Canva เบื้องต้น ได้มีการสอนในส่วนของการทำ Poster เพื่อให้ผู้เรียนคุ้นเคยกับเครื่องมือมากยิ่งขึ้น,,1,17
26/8/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ เรื่ื่อง Design Thinking และมอบหมายงาน Mini project ,,1,17
27/8/2569,,เตรียมเนื้อหาสำหรับสอบปฏิบัติของรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,,1,17
28/8/2569,,ตรวจงานของนักเรียนและเตรียมเนื้อหาการสอบปฏิบัติของรายวิชาการออกแบบส่วนติดต่อผู้ใช้,,1,17
29/8/2569,,"เข้าร่วมอบรมเชิงปฏิบัติการ ""การเตรียมความพร้อมสำหรับครูผู้สอนในการประเมินมาตราฐานวิชาชีพ"" ภายใต้โครงการยกระดับการผลิตและพัฒนากำลังคนอาชีวศึกษาสมรรถนะสูงสู่ความเป็นเลิศทางวิชาชีพ และมาตราฐานสากล",13Z56X7oI6Ufal6w0akdw1qt0mAkWuppK,1,17
30/8/2569,,"เข้าร่วมอบรมเชิงปฏิบัติการ ""การเตรียมความพร้อมสำหรับครูผู้สอนในการประเมินมาตราฐานวิชาชีพ"" ภายใต้โครงการยกระดับการผลิตและพัฒนากำลังคนอาชีวศึกษาสมรรถนะสูงสู่ความเป็นเลิศทางวิชาชีพ และมาตราฐานสากล",1o7uuTPexThgzrtxB0hztYz_dlxBmjSJh,1,17
31/8/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดูแลนักเรียน นักศึกษาระดับชั้นปวช.2 และ ปวส.1 ในคาบกิจกรรมเสริมสร้างสุจริต จิตอาสาและให้คำปรึกษาในการทำเล่มชมรมวิชาชีพเทคโนโลยีสารสนเทศ,,1,18
1/9/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,สอบปฏิบัติในรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,,1,18
2/9/2569,การออกแบบส่วนติดต่อผู้ใช้,ให้นักเรียนตามงานที่ี่ค้างและให้นักเรียนทำ Mini project ในคาบวิชาการออกแบบส่วนติดต่อผู้ใช้,,1,18
